Participants,Signal,Text
6,1,"This one feels like it's really hard to actually move it. There's some friction, like little hills. I don't know if I can explain that. Maybe a good way to explain it is like it feels like the glass is getting stuck on my finger, like the little parts, like making a fingerprint. It's uncomfortable. Maybe it feels like there's something on the glass. Someone has spilled something. Yes, it feels like when you spill something in the kitchen and then it's a bit sticky and you try to wipe it away with your finger, and then everything gets nasty. So it's nasty. It makes you feel nasty. It's like something wants my finger to get stuck on the glass. And it probably is going to make a really gross sound if I would hear it."
6,2,"Somehow, this one feels even worse in some cases, especially when you slide your finger up. If I could hear it right now, I think it's gonna make a creaking sound. It feels like there's a bit of vibration when I move it faster, a bit like electricity balls in those science centers. But it also makes me want to put all my fingers there. Yes, electrical buzzing. So it's maybe a sound a bee makes or a beehive. If I would have to put a sound again to this one, for instance, it's maybe like a motor running. It's not good."
6,3,"This one is like it has the same motor running, like what I said, like this kind of electrical feel, but it's more smooth. I feel like maybe if I were playing a game on glass or like a touchscreen, then this one would show that something has been done like a goal has been reached. It's not a nasty buzz like the last ones. It feels like I'm doing something. If I look right at my hands, I would imagine maybe I'm drawing with a paintbrush, a  rusty paintbrush. It's not in a bad way. It gives a sense of accomplishment, maybe. It's exactly that. You have a brush at the top of your finger, and you're brushing something away, or you're painting a picture if I would move it faster. Yes, I guess that's a good explanation. It's like a little brush on my fingers."
6,4,"Okay, this one is like the hum, what I was talking about before. It feels slower, more of a deeper voice if there would be a voice. It's not as pleasant as the last one. And it makes me feel like there is something wrong. If I had to put it as an adjective or in a story, then it would be dark in some way. So it gives negative feelings, but not in an irritating way like the first two, but more sinister. Or again, you're playing a game, and something bad happens. Yes, it's lower. If this was music, it would probably be bass or something."
6,5,"Yes, okay. This one feels like you're running, and you stumble upon all the hills in your way. I think there's something that stops the movement, like intervals. At least it feels like it. It looks like an application is lagging. So it's not nice. It makes you pissed off. Irritating. It's probably someone very neurotic or prompt or impulsive behavior. I don't know. I guess exactly like computer lag. It makes you impatient. Come on, do something properly now."
6,6,"Okay, so this one is smooth, and then it hits a tiny bit of weight. I don't know. It reminds me of the sea or a very calm sea. I am not really sure because it doesn't really remind me of anything else I've experienced before in a touchscreen, especially. It feels dormant, like something is not right, or it's starting up. It's passive, to be honest. I don't know. A shaver that doesn't work. It feels like it confuses my finger because it's not really still, but it's also not really constantly buzzing or sending this vibration. So I think my finger is really confused. It's not something I would want to feel, actually. I think."
6,7,"Yes, this one is really disruptive, again, because there are these longer intervals of just nothing. So it feels like I can do whatever I want, and then something just kind of grabs a finger. So it feels very restrictive and not in a good way. I mean, restrictive is not in a good way. It's annoying, oppressing. So it holds you back. It doesn't slide your finger. You expect a very smooth slide, but it disrupts that. I could imagine it would be used for something that tries to slow you down. Yes, because it gives this phase-like feel. I can imagine you're hurrying somewhere. And then somebody is like, no, don't go. It pulls you back from your clothes or something."
6,8,"It's passive, quiet. I don't know. I don't like this kind of people. It's like someone who lives with their five cats because it's a very low and annoying little buzz in the background. It was kind of hard for me to first even detect it and not even detect it. But I couldn't really understand if it was the buzz or my finger against the glass. Yes, it's telling me it's very coarse. It feels grainy. I'm sliding my finger across some small grains. Yes, I don't know. I've dropped salt, and for some reason, I'm doing eights in that with my finger."
6,9,"This one feels barely noticeable. I couldn't understand at first that there was some kind of a pattern. It feels like it's just my finger on something sticky or grease. I don't know. Sweat on it or something. It's a bit disruptive. I don't know what to even say about this one. It's not something you would meet, like using a touchscreen in real life, I think. I guess maybe it has this lagging as well. So like when you're at the McDonald's that have these touchscreens, and sometimes they don't work because stupid kids use them too much. And then it's you ordering. That's how it feels. Impatient. Those got damn kids. I just want my burger. But something is not right. I expect smooth sailing."
6,10,"This feels low again, like something in the background. I'm touching a tiny motor, but it's not too vibrating. But it also, maybe, reminds you of pain. If it's tooth pain, it's something in the background. It feels like it's just aching or vibrating. I think it's someone very stable, actually someone who is so confident and maybe like a leader. Yes, it's like a stable, confident person. I already said stable, continuous, in a way calming, maybe because it doesn't change. It's just going to continue until you turn it off."
6,11,"If I was talking about something sticky before, then this one feels even more. I was thinking for a second that there was something on my finger. Yes, it looks like I've taken jam, poured it on my counter, and now I'm just playing around with it. Yes, this is not a good feeling at all. Yes. Sticky. Glimmered. I think it's even oppressive. I can't move my finger properly. It's literally stopping it. It's not actually stopping, but it really feels like you just put something sticky here right now and there on the glass. It's telling me I should clean the glass. I don't know. If this was like an application of the touchscreen, and I would feel this, I would probably make a restart. It obviously signifies that something is not correct."
6,12,"This one feels alive. It's good to touch, but you can still feel there is some kind of action happening with whatever I'm interacting with. It's not disruptive. It's not too much in your face, but it gives you enough feedback to understand that you're actually interacting with something. It's a positive thing. Maybe success because it does make you feel like something is happening. Something is working. So it doesn't give you negative feelings that there's an error or there's a lack, or something is wrong like some of the previous ones. But I think it's because it's also continuous and not so much disruptive as a feeling. So it's like a positive one. I think it reminds me of kitchen appliances like any kind of appliances that use batteries or a hairdryer, maybe a mixer, even though a mixer is actually a way more strong vibration. But I think it's like when you hold it in your hand, then you cringe, then the vibration becomes less, and it resembles this one maybe."
6,13,"This one, I guess, is some of the sticky ones. It actually doesn't feel as restricting as the one that was more or had a pattern. It's because I guess it takes you by surprise, and then it gives you this false idea that everything is nice, and then it suddenly has this [onomatopoeia] that stops your finger. It doesn't feel good. So it's a bit startling. It makes you feel tricked because, as I said, it gives a good feeling everything works. Then suddenly, it's sticky. It reminds you of boundaries, but I know it's in my head, so if I were playing with a box or something physical. When this disruption happens, it feels like I'm hitting something physical with my finger. So maybe even though I know, it happens at random places, but since I'm drawing actual shapes with my finger right now and this tends to happen at certain points. It maybe gives this 3-D imagery."
6,14,"That one actually feels good, a bit, for example, like a purring cat. But it also feels like I'm actually doing an action like moving my finger. It actually gives some kind of results. I'm drawing some shapes. It's a good feeling. It doesn't feel like a disruption. I think it's because it's prolonged. I don't see that as a person at all. I see it more like I'm doing art, more of an action. If I had to describe it may be fun, creative. But that's because right now, it gives in my head this imagery of I'm doing art. And I'm making this fun collage or a painting or something. So it might be biased. Purring. Fun. Creative. Colorful. Yes, fun. This is fun. It actually feels nice."
6,15,"This one feels like a machine that is pumping out something. So it has a steady purring or steady hum. And then there are sudden weird outbursts, but you can't really explain. Yes, it feels like I'm interrupting something. But it's a machine at work. I shouldn't be touching it. I don't feel like I'm doing anything with my finger here. So it feels like I'm interrupting some kind of process. It doesn't give me any kind of feeling of control at all. As I said, I don't know, a machine pumping out packages like in the Amazon workplace or something like that. They come out of the line. I don't know. This one is a strange one. It doesn't really seem to have any kind of consistency of movement. It doesn't feel like I know the rest of them. No matter how I move my finger, it also doesn't matter. But this one just feels completely off. The one I said there was more drawing at least gave an illusion that I'm doing something, but this one is nothing."
6,16,"Okay, talking about doing nothing, this one also feels that I'm having some impact. It's just like if there were little hills that are kind of hairy, and I'm brushing above them. I'm searching for them with my finger. It almost feels like I could trace some kind of pattern or some kind of landscape. There's actually nothing there. Or if the glass would have different textures, this would give a different texture like hair or something. I think of an old grandma or grandpa, the one who sits in his chair and reads newspapers, just complaining about TV or radio or something. It's loving and nice. Or a cat that purrs, maybe, but a nice cat, not the one who attacks you. I feel alive, maybe. I know I said cat and grandma, but I meant more like nature-wise of like different patterns and different landscapes and materials and textures. And if I wouldn't see the glass or not look at it, I would imagine that there would be whole ornaments of stuff and a landscape of different colors and textures and stuff. It's telling me there's something I can't see. But I can discover that this was a game for kids or something, or you can touch somebody else, a blind person. I would be touching someone's face or something."
7,1,"So this feels very turgid. It feels very slimy and thick. I can feel my hands are sweaty, but the surface is also very resistant, more resistant than a surface can be. And there's a slight sensation of pulsing, not major. It's telling me you're not welcome. It tells me that I'm in a hard zone that I'm stuck in the mud. Frustrated. Slow. Sludgy."
7,2,"It's undulating. I can sense something trailing behind me. There's a primary fuzz, and then it trails behind and somehow. It feels like a few different points of contact were sparkles of it. So it's slightly sparkly, a bit like the crackling of sparks. Mystical. With some depth. A charming guy. Deep voice. Wonder, I think, is something. Deep thought. Introspection. Slowness. Calm."
7,3,"It feels a bit similar to the others. It has that slight sweaty feel but much lighter and much thinner. It feels like a small string of droplets, a very tiny string of droplets. Drumming my fingers. The pecking of a small bird. A millipede marching around, a really tiny millipede. Maybe erotic excitement, like that shiver that you get in excitement. Buzzy. Anxious. Light. Indeterminate. Flattery."
7,4,"This feels somehow like deeper below my fingers, I guess, going deeper. This sensation feels like it's in the glass a bit further. It has a strange rhythm to it. It's almost like a heartbeat of some sort. There's the buzz, and then there is some kind of app below. [onomatopoeia]. It feels a bit like the sound of a base outside of a club where you can feel it on these surfaces around you because it has the melodic aspect to it, like a sense of complexity, which sounds like it's been produced by a human. It's some kind of variance to it."
7,5,"This feels like lots of small balls. There's just a lot of balls falling, small balls falling. It reminds me of a lottery where you have little balls running around. And then they all fall down towards the end. I guess a sense of falling. It could be a joyous occasion of sorts, like a party. You're at a party. The champagne is flowing. People are chatting. There's a bubbliness in the air. It just feels like lots of smooth surfaces intermittently making contact with my finger, just like [onomatopoeia], a bit like those metal pin things which you put in your face and you can make your face --. Imagine all those pins just randomly come into contact with your finger."
7,6,"This sounds like a marching band drummer and a paradiddle. I think it's called where you go [onomatopoeia]. It feels a bit fun. It obviously has a rhythmic component to it, which is peculiar. It's funny. A posh chap who is a bit silly and a bit flippant. He floats around and says lots of little nothings and keeps people entertained in that way."
7,7,"This one is like a straight-up dagger. It makes me think of these dagger waves, sawtooth, whatever, chainsaw. It's just constant and angular. Quick, fast-paced, but not aggressive. Being wired. You've had caffeine, but you don't have any natural energy. You're just like [onomatopoeia]. It's not unpleasant. It's not attached to what I would say is an anxious feeling, but it is like this feeling of artificial energy. It feels somewhat warm. It feels like when I put pink noise at night for me to relax, to go to bed, of sorts, but I still have some energy."
7,8,"This one is almost melodic. It feels similar to the paradiddle one where you can sense it has a very particular rhythm like [onomatopoeia]. It's more meditative and a bit deeper than the paradiddle one. It feels a bit thicker and a bit more like there is ambiance to it. It made me think of being at a club with house music, and it has that more kind of deep house, maybe. There's this kind of ambiance and this warmth to it. It's the same rhythm that goes around and around and around. It feels less dispersed than the other ones. It feels like it's one surface which is making contact. It's like everything which my finger is touching is receiving the sensation rather than like lots of different points. And it feels more like a larger body."
7,9,"This is a very obvious pulsing rhythm, which makes me think of an alarm like the alarms that were in Metal Gear Solid, like a factory-wide alarm by some security system over a big industrial plant. I wouldn't say it's aggressive like that, but it has that length and that dispersion, which makes me think of that, but it's milder. Insistent. Ebbing. Broad. Spacious. It's telling me to take note of something. It's something I should pay attention to, but nothing that's necessarily dangerous or alarming, but of importance to the sense of a better foreboding maybe."
7,10,"This sounds really chirpy, like birds frolicking around in a nervous fashion and playing with each other because they have too much energy. They need to get rid of, come off with. Incessant. Nerves, in a positive sense, like excitement, but also laced with that nervousness of something energy that needs to be discharged. It reminds me of being a kid. I'm playing around with other children and being excited by them, but also a little bit afraid but just like with too much energy to spare."
7,11,"This one was harder to understand. There's a sweatiness and slight pulsing. It feels like a really big ragtag ball rolling over yourself. And it doesn't seem to be that much consistency. It feels many-sided. I thought of some sort of rolling animal, and I was thinking of it. I forgot what cartoon it was, but there is this ant-eater-type looking thing with a long snout, which would roll itself in and roll around spaces. But generally big, fat, with lots of strange angles and subsections."
7,12,"It feels brittle. It feels like a material which doesn't have much substance to it, which feels like glass. It can fracture in many ways but also is quite fine and complexly shaped, fragile. I am stepping on eggshells. I have to be careful here. Stepping on ice. Touching something delicate."
7,13,"This feels like buzzing, similar to the other sawtooth. It feels a bit faster and less deep, more shallow. Constant background noise. Someone with a work ethic, which just goes and does things and has this consistency to their action. And there is low-level determination without drama. It's that running, but not running in the moment, that running over many days and just the action of incorporating running into your life. And so, if you were to imagine doing it for a few months and as a committed action."
7,14,"So this is also pulses. The immediate impression is like a submarine. It feels a bit underwater, a bit gloopy, a bit muffled. It sounds a bit like bubbles. It sounds like I'm hearing medium-sized, manmade metallic structures passing through the water. Ambivalence, but not particularly angst provoking ambivalence but just like ambivalence that's bordering on indifference."
7,15,"This one's very hard to distinguish. It's like my fingers are sweaty, but maybe there's more buzziness when I do it. It doesn't feel like there's any current. For the other ones, I could feel a specific current. But this just feels like sweaty glass but met with rattling more when I slide across. Yes, it's almost ticklish. A bit confused. Maybe a bit frustrated."
7,16,"Tanker. Is this the same one? Again, it feels very similar to just having very sweaty fingers on a pane of glass. It's hard to notice anything very specific about whether there is a current. Now. That's interesting. That makes me think furry. It makes me think I'm handling a hamster. Small and furry. And it's very mild-tempered, curled up in itself. And it's vibrating in an anxious but charming manner. Coziness. Warmth. Sanctuary. Safety."
8,1,"So it feels like very steady, little beats, almost like playing ping pong with a tiny little ball. But it feels like a bit of a delay kind of beat, like it doesn't feel like it's a very fast tempo matching like any speed I'm at. It's just like a slow, drawn-out little beat. I think it makes me feel energetic because it's a bit jumpy, bouncy. And it's a very exciting, positive kind of beat. Playing ping pong. I don't know why. It feels good because it's not a constant kind of vibration. It's up and down, up and down, so it makes me feel a bit more engaged with the glass and the screen."
8,2,"This is a very gentle beat. It's probably the hardest I've, from the warm-up, experienced beyond distinguishing between the friction of the glass and my finger. It's almost something I have to concentrate on to be able to feel properly. It's a very constant sensation. I can almost forget about it if I just keep my finger on the glass for too long, forget that it is there. Bland. Boring. Not very interesting. I  don't really get much out of this sensation, so I think it makes me less invested. And if it was a person, it would probably be someone I wouldn't be interested in talking to. It's almost like being at the beach and just running my hands through the sand if the sand was a bit colder. It doesn't have any rhythm to it, so I think that's why."
8,3,"This is a soft vibration, but it's got a beat to it, so it's more fun. I'm spinning on a DJ set. Yes, disco. I think jamming a jam, like a jam session. It feels really gentle, soft, but also really energetic, or not energetic, like soft, gentle but connected. So just relax, chill out, have a good time, almost like being in a bodega with a good group of friends, and the music's not too heavy, but you know you're having fun. It's just like a really feel-good kind of music and environment. And it's not really a consistent beat, which probably made me think of being more social."
8,4,"I don't really like this feeling. It's a bit haphazard. It's almost like a siren, but it's really soft. It's almost like a warning kind of feeling for some reason. I don't know why, but it makes me feel like there's danger coming. It's ominous but not something I can say I felt before, maybe just like feelings I am getting from watching movies and being in a barrack or something. I feel it could be this [onomatopoeia]. Footsteps are coming. Ominous. Suspenseful. Thrilling. Danger is encroaching. Haphazardous. Slippery. It's gripping and then slipping. I think that's why it's making me feel a bit uncomfortable."
8,5,"This is interesting because it's like a small, slight vibration, and then you got a big vibration. It reminds me of my vibrator, so I would say sexual. But maybe interesting because I'm sure there's a pattern to that big vibration, but it almost feels like it's not because you get lost between the small one. And then the big one. So exciting. It makes me want to keep putting my finger across the screen. Exciting. Interesting. Evoking."
8,6,"I can't really figure out what's going on with this one. There's something, and then it stops. Okay, there's a pattern. It's like a steady beat, and then it stops and then starts again, which is a bit irritating because I can feel like I'm getting into the pattern, and then it stops, and then I've lost the sensation, and then it starts again. Irritated. I'm anticipating something, and then I don't get it. Yes, it's a bit drawn out. I don't know if you can say all this. It is a setting on the vibrator that is really irritating because it makes you climax, and then it stops. Yes. Not consistent. But it is, but it's not. I don't know."
8,7,"That's weird. It's almost really impossible to tell if --. It's almost like running your finger along something, and it is getting caught like a very rough surface. It makes me feel like it's more the surface rather than the vibration. I think it's telling me something's broken. I don't know. I'm really struggling to figure out the pattern in this. It feels like it's almost like when there is the vibration or feeling, it shouldn't be there. This is kind of strange and peculiar. I think it's maybe when you are daydreaming, and you're just doing things mindlessly. It's the kind of feeling where you get lost in that sensation of your finger to the glass. And then you get that vibration. And then you're like, I'm not focusing. I'm not concentrating and then maybe confused."
8,8,"This is cool. I like this one. This is very interactive, like skipping, going for a walk, like an excited mood, like hopping alone. I don't literally hop when I'm excited and go for walks. I would feel it's something that it reminds me of. Do you remember being a kid and you had those xylophones? It's like a xylophone kind of sensation, really light up-beat. Really interactive. Really playful. Groovy and fun. I'm speaking between the glass, like there's something behind the glass, like someone's communicating through the glass, actually. I don't know."
8,9,"It almost feels like this sensation is based on the amount of pressure I'm putting on this glass, but I know it's probably not. It almost feels like it's me and not the signal. I'm like in control. I don't know. It feels like it's coming from me because I can't really figure out a pattern or anything. So it messes with my head thinking that if I press harder, I'm going to feel something more. But I'm not. But I am. I don't know. Maybe unsettled. Because I feel like it's me doing something, but it's not me doing something. So I feel like I've lost control when I said the feeling was making me feel in control. But at the end, I'm just feeling insecure about what is happening. At the Science Museum, there's those things with the purple electric lights, and then you come closer to it, and then you can feel it, and then you move away, and you can't feel it. But it's almost with a delayed reaction. That's why I think those sensations are coming from me."
8,10,"This is quite light, fluffy, almost like running my hands on a dog or something fluffy. It makes me feel quite comforting. Soft. Furry. Cushiony. Not velvety per se, but it's quite light. Comforting and sweet and cuddly. Giving my dog a hug. Petting my dog while she's cuddling next to me. It's almost like a little heartbeat of an animal where you just feel it. I don't know."
8,11,"This is like a heartbeat. This is literally like a heartbeat. It's almost like I'm lying next to someone, and their heart's beating. It's making me feel freaked out. If I close my eyes, I could be putting my hand on someone's chest rather than it's actually glass. So I am a bit shocked but astounded. Yes, just leaving next to someone, rubbing my hand on their chest, and you can feel their heartbeat. I'm feeling close to someone."
8,12,"This one feels like I'm putting my hands through something not quite as light as water, but something a bit more vicious and just put on my hands through slime. I feel rubbery slime, that kind of bounce back, but also liquid sensation. I'm not sure if I'm really getting a message out of it. It's almost more just the sensation if I was to be playing a game. It'll be more like a fun, playful kind of interaction."
8,13,"It's like skating, like ice skating, and when you like to slide along the ice, it's like [onomatopoeia]. Quite nice. Quite like gliding. And relaxing. I think because it's such a long sensation in beat, it's making me feel really calm. Really empathetic because it's almost like the glass is listening to me and being patient with me. I'm just feeling it out. So I would say the person would be a person I would want to talk to and talk deeply with."
8,14,"This is a little bit more electric. Maybe a bit anxious, just because it's a bit more of an electric feeling. The gaps between the sensation are further apart. So it's making me feel a bit almost like the sensation shouldn't be there on the glass, but it is. And it's almost like I touched it, and it's a bit electric, and that's weird."
8,15,"This is quite fun because it's a very constant beat, and it makes me want to keep touching the glass. I could almost think that there would be music playing. If somebody told me that I'm deaf and I'm listening to a song, I'd be like. I know this song. I could tell you what the song is. It makes me feel familiar with this beat. Up-beat. Connected. Having fun. It's very exciting and stimulating, and evolving. I would say stimulating is what I think of the most. Or bringing back to the sensation of like if you were at a party and then you're feeling the vibration of a speaker, and you're just like, this gets me going. This gets me in the mood to party."
8,16,"I don't know if I'm saying this because I am still on that party vibe. It's more like being against a speaker and hearing the beat of a song but not as upbeat. It's more like when you are at a concert, and there's an in-between act, and it's so silent, and they're just playing that music while nothing is happening, but they just want something to be playing. Ominous or shady. I'm not sure if I could really trust them. They're constantly being a bit hooded and not that open and a bit keeping to themselves. Maybe a bit like threatened and wary."
9,1,"Honestly, nothing. I'm just gliding my finger across the screen. It's just like a normal window. It's kind of squeaky, a little bit. No, it's really just like a windowpane, I guess. Maybe I have really hard fingertips. I don't know."
9,2,"Okay, I can feel something now, I think. It's very subtle, though. It's not really vigorous. It's quite calming, I guess. Very loose. It's just like indents. Yes, indents in the glass. It's not very alarming. It's just subtle."
9,3,"This one is less rhythmic, I think. Erratic."
9,4,"Not anything in particular. Maybe uneasy because my finger isn't that smoothly gliding. So it's unpredictable, maybe. Yes, it's more an alarming thing. I guess if this was to be on some sort of computer, maybe it would be telling me not to do something or that something wasn't available to me. Like this thing that you're trying to do can't be accessed."
9,5,"This one is more soothing, more relaxing, more tender. It's not as violent or as assertive. Just smooth and soft and almost comforting, maybe, but present. It's going to fall asleep, but it's holding me in a weird way. I have no idea. To be calm, I guess."
9,6,"This one is a bit rougher, like dragging my hand through sandpaper. Yes, it's like with the other one where if I were to use this on some sort of software, it would be telling me not to do something. Posh. Abrasive. Black and white."
9,7,"Okay. It's not as obvious. Yes, this is the vibrator one. This is the one that is the vibrator. Yes, because it's subtle, but there is a motor inside of it. And in my head, there is a vibrator. Cool. I don't know what it's telling me. I guess I'm just thinking about vibrators now. I don't know what a vibrator would tell me. Pleasure, I guess. Getting off. Sensual sensuality."
9,8,"This is like the last one, a bit but not as aggressive. You are sliding your sweaty hand across a windowpane, and because you're sweating, it's getting stuck. And it creates a vibration. Carelessness, freeing, because there isn't that much. I can't really detect that much of a pattern vibrationally. So it's letting me do its own thing. It's letting me do my own thing."
9,9,"This one is weak as well. Okay, wait. Yes, it's not intentional. I feel like it's really subtle, maybe. If it was a season, it would be winter. I don't know if that makes any sense because it's wispy and delicate and light. It's not telling me to do anything, but it's suggesting. Crisp. It's just tender. Tender. That's a good way to describe it. Tender. And just trivial and novel. It's not urgent. It's just kissing my fingers. It's not nudging it in a certain direction. And the contact it has with the fingers is not that much. It goes away instantly. But it's tiny bits of them. It's not as aggressive."
9,10,"I don't know. Again, it's not as urgent or aggressive. I feel like I'm touching on the surface of a machine, and you can feel the machinery working within it. You're not touching it directly, but it's more on the surface. If I was to be stroking maybe the outside of a car, and you can feel the engine in it. And you're just touching the surface of it. That's what I could imagine, what it would feel like to feel the outside of a car. So I guess I've done that."
9,11,"This one is a bit more smooth. You're gliding your fingers across ice. When you press harder than there is some sort of resistance. Maybe being restricted. Being limited because you can't really just slide your fingers across it without any resistance. There is always the harder you push, but it depends on how much pressure you put on it, I guess. Smooth. Gliding. Subtle."
9,12,"Okay, this one's a bit more peppy. Yes, this is telling me something. This is like my alarm going off in the morning. Peppy. I don't know if that's an adjective. Excitable. I guess erratic, but also energetic, but also worried and anxious because it's all happening. There's a lot of vibrations. Alarmed."
9,13,"This one is a bit like the last one. It just feels like panic, like a heart palpitation or something. Okay, now I'm getting more into it. I mean, it makes me feel alert and aware. I guess I'm doing a lot of work moving around. I guess, panic a bit. It just feels like spiraling into dread because it's quite subtle. The actual sensation is quite subtle, but the more I glide my fingers across the glass, the more I feel. So it reminds me of just overthinking, maybe."
9,14,Okay. This has a beat. This has a tempo. Maybe quite vigilant because it feels like an alarm because it's at a steady tempo. So I guess it's someone I would characterize him as being quite organized maybe but also quite fear-mongering. Alert. Aware. Awake.
9,15,"Okay. This one is more chirpy. It's like a little bird just chirping away. Again, it's like the alarm, but a more emergency alarm. It reminds me of a fire alarm, like panic, I guess. It's good. I'm not complaining. It's not like it's giving me a panic right now, but I feel like it in itself is trying to tell me something that I should be aware of."
9,16,"It's not obvious. I guess it's dragging my fingers through tar because it's quite slow. Yes, it's inconsistent. If I was to do this, then it would be like, this is a hard thing for me to do. I don't know. I'm kind of working against the current, if that makes sense. Prickly. Tricky. Yes, I'm just negotiating. Someone who is set in their waves wears black and white, stubborn."
10,1,"It's a pleasant feeling, but it has these little abrupt stops in the pattern. Yes, compared to some of the other sensations I had in the training, I would say this feels more as if you would have slightly sweaty fingers and you were touching on a piece of glass. So this is more akin to that feeling, though not completely the same, but it feels like that. So at times, I feel like it can be a little difficult to distinguish between whether it's actually the glass or if it's the sensation. I don't know because I would say maybe it's too subtle to really grab my attention. I would say. Now I'm just thinking aloud. So let's say it was a notification or something that tried to catch my attention, then I would feel like it was a little bit underwhelming, but maybe for other things, it might work better. It feels okay. I will say again. In the vibration patterns going up and down, as I said before, it feels they're these small, little abrupt stops between the oscillation, which again feels like it's a super subtle feeling. But yet still, it has this edginess to it or this sharp stop edginess to it. It's the best way I can describe it."
10,2,"I would say this one here is a little bit harder to feel. I would say it feels like a rugged, uneven surface, almost like if you were to touch something like a brick wall or something, something that's just a little uneven. I would describe it as a person, that is. I don't know. I guess I would at least describe it as a person who would not have smooth skin. I don't know what kind of connotations that would bring up. I don't know."
10,3,"This one here feels like it has a little bit more pattern to it. It's almost rhythmic in a sense. Yes, I would say, for instance, music. For instance, that could be a chord progression or a baseline of something, something that has sort of a rhythm to it that changes. It feels good. I would say it sort of speaks to my brain the same way that hearing a chord progression or a bass line or something like that in music will do, like something that you can follow along to. Yes, that same area of the brain being activated, almost."
10,4,"This one here feels a bit harsher. I would say it's more warning. If I were to compare this to another modality like sound, for instance, I would say, if you do something on the computer and you are unsuccessful in your action, you will get a sound or something that kind of communicates something went wrong instead of some, I don't know, rising pitch sound. This is more like something didn't go as you would have expected it to go. I don't know. Unsuccessfulness. Try again feeling, if that makes any sense."
10,5,"I would say maybe a little bit it reminds me of some of the actions that my Apple Watch does. So again, in comparison to some music sounds where you might have something that goes up in pitch or down in pitch to signify something, the Apple Watch does the same thing with vibration, where it will go up in vibration pitch and down in vibration pitch to communicate something. This feels like it's coming in these waves of vibration in the same way but more monotone. Yes, it feels like these waves or a surge of vibration that comes on and off and like an on-off pattern. So something that signifies something that is a binary state. It's there, or either it's not there. On-off. No, I can't come up with any adjectives."
10,6,"I would say this one here is more coarse, especially in relation to the other one. It sort of feels like the vibration pattern is more spread out than the other one was. Again, I would say I like this coarse feeling. But what I think where you could really harness the strength of this feeling would maybe be in combination with something like the one previous to this one. You could, instead of having this coarse vibration pattern, then have something that moves from coarse to more fine-grained over time interval to communicate change more or less. If I had to put an adjective on this one here, I would say static. Not in a bad way, but it's just a static feeling of some coarse vibration pattern."
10,7,"Sharpness. More needles stabbing. It's like this prickly sensation if your hairs start to rise in the back of your neck, sort of feeling, I would say. I don't know. Getting kissed in the back of the neck or something. I don't know. It's like this weird space between pleasure and pain. I wouldn't necessarily say that it's a clearly nice or pleasant feeling, but yet still, it's very distinct. I'm not going to say it's painful or anything because it's not, but it's just very stabby. I don't know. It causes arousal in some way."
10,8,"I would say maybe just to describe what I'm feeling also. This feels like longer bursts of vibrations. And to me, what it sort of signifies is, I don't know, something that's activated or something that's ongoing or in live progress. That's what it's telling me. I would characterize it as someone who is, I wouldn't say, hard-working, necessarily, but someone who is sticking to their guns and doing what they're told. They will get up every morning and do their thing and do what they're supposed to do."
10,9,"It's very subtle. It almost feels like it's pulsing. Maybe it's just the way that I touch it. It's like some of the other ones. I don't know why I keep returning to this word stabby, but it's just the sensation of it being. The attack of the sound is quite hard, and it's decaying quite fast. So it comes on really quickly, and it leaves really quickly. So it's not like the sine wave. It's not really like a slow beat, but it's very up and down."
10,10,"This one here is more pronounced than the other one. I would say this here is one of the more attention-grabbing ones that I've felt so far. I would assume that it would be able to take or catch my attention more easily than some of the other ones. And I think one of the reasons why that is is because it feels like there is more spacing between the vibrations as opposed to some of the other ones where it's it's a really, really sudden sound, sorry, a really, really subtle vibration. The frequency of them coming on is also very close together that it can just mud together almost where here I'm actually truly able to feel each and every vibration very clearly. It makes me feel like this is something that I need to look towards, or this is something that I need to pay attention to, like this is something of importance."
10,11,"So this one here is quite similar to the other one, just with even more spacing. And I would say it's in the same vein as the other one. There is a lot of the same things that hold true to this one here. I would say, however, that because the vibration pattern is spread out to this degree, it might feel maybe a little too sporadic. Yes, I would say maybe like a heartbeat almost. Let me just, one, two, three, four. So that's quite a high beat per minute for a heartbeat. But somebody who might be a little winded. Relaxation. I would say or something of lower physical effort, something like that."
10,12,"This one here is a little harder to distinguish, but I got it. So I would say with this one, here again, it has a high attack and a quick decay. There's a lot of spatial separation between the oscillations, and I would say, maybe even to the extent that I would have a hard time naturally distinguishing this as something that I would pay attention to. I guess, just intuitively, I would be in doubt as to whether this is just something that happens to me by chance or if this is actually something that is directed towards me. I would say somebody who is a little scattered in their life. Things are maybe not so much under control, and they might be living in bursts and then just completely, I don't know, disappear and go away for some time, and then they just come back full force."
10,13,"Okay. This one here feels a little bit more muddy than the other ones, I'd say. In that, the attack, like the onset and the decay, is a little bit weaker than some of the other ones. I would say maybe an engine like a motor that's just running in idle, just standing, being on without actually going anywhere, but just standing there. Or maybe like an old steam train that's just standing there, waiting at the platform ready to go. I would associate it with something that's going in a very uniform pace in the same linear direction. Yes, something that's very syncopated."
